Individual,Site,Event,Season,Year,Age,Fat,PlasmaDetection,Species,PercentAg,Julian,Uric,MigStatus,SPEI,BCI,EnvDetection,FatteningIndex,time_hours,AnnualSnowfall_in,PrecipitationAmount_7days,DaysSinceLastPrecipitation_5mm
109471921,Sewage,Fall 2021,Fall,2021,NA,0,N,Willet,60.1335428,196,NA,Resident,-1.51,0.104763951,Y,NA,16.33333333,17.7,1,7
123200535,Sewage,Fall 2021,Fall,2021,NA,0,Y,Killdeer,60.1335428,196,NA,Resident,-1.51,-0.02721334,Y,NA,12.75,17.7,1,7
109471919,Sewage,Fall 2021,Fall,2021,NA,4,Y,Willet,60.1335428,197,NA,Resident,-1.51,0.293596131,Y,NA,14.15,17.7,1,7
109471920,Sewage,Fall 2021,Fall,2021,NA,2,N,Willet,60.1335428,197,NA,Resident,-1.51,0.163546002,Y,NA,13.9,17.7,1,7
123200533,Sewage,Fall 2021,Fall,2021,Adult,3,N,Lesser Yellowlegs,60.1335428,197,NA,Migratory,-1.51,0.209637493,Y,NA,12.26666667,17.7,1,7
123200534,Sewage,Fall 2021,Fall,2021,Adult,3,Y,Lesser Yellowlegs,60.1335428,197,NA,Migratory,-1.51,0.058726821,Y,NA,10.7,17.7,1,7
258116700,Sewage,Fall 2021,Fall,2021,NA,0,N,Semipalmated Sandpiper,60.1335428,197,NA,Migratory,-1.51,-0.153481664,Y,NA,14.41666667,17.7,1,7
123200527,Pelican,Fall 2021,Fall,2021,Adult,1,Y,Lesser Yellowlegs,78.0235988,198,NA,Migratory,-1.51,0.16734599,Y,NA,12.66666667,17.7,0.85,1
123200528,Pelican,Fall 2021,Fall,2021,NA,0,N,Pectoral Sandpiper,78.0235988,198,NA,Migratory,-1.51,0.161067237,Y,NA,11.5,17.7,0.85,1
123200529,Pelican,Fall 2021,Fall,2021,NA,0,N,Killdeer,78.0235988,198,NA,Resident,-1.51,-0.046601542,Y,NA,10.71666667,17.7,0.85,1
123200530,Pelican,Fall 2021,Fall,2021,Adult,0,N,Lesser Yellowlegs,78.0235988,198,NA,Migratory,-1.51,-0.130383052,Y,NA,9.966666667,17.7,0.85,1
123200531,Pelican,Fall 2021,Fall,2021,Adult,0,Y,Lesser Yellowlegs,78.0235988,198,NA,Migratory,-1.51,0.036277989,Y,NA,8.833333333,17.7,0.85,1
123200532,Pelican,Fall 2021,Fall,2021,NA,0,N,Killdeer,78.0235988,198,NA,Resident,-1.51,0.24867718,Y,NA,8.083333333,17.7,0.85,1
123200524,Buffalo,Fall 2021,Fall,2021,Adult,0,N,Lesser Yellowlegs,3.7494067,199,NA,Migratory,-1.56,-0.051137435,N,NA,11.41666667,13.5,0.09,9
123200525,Buffalo,Fall 2021,Fall,2021,Adult,0,N,Lesser Yellowlegs,3.7494067,199,991,Migratory,-1.56,-0.053812343,N,-0.359114039,10.55,13.5,0.09,9
123200526,Buffalo,Fall 2021,Fall,2021,Adult,1,N,Lesser Yellowlegs,3.7494067,199,NA,Migratory,-1.56,0.159201826,N,NA,9.75,13.5,0.09,9
123200521,Church,Fall 2021,Fall,2021,Adult,2,Y,Lesser Yellowlegs,52.681628,200,NA,Migratory,-1.75,0.242623684,N,NA,10.68333333,10.6,0,14
123200522,Church,Fall 2021,Fall,2021,Adult,0,Y,Lesser Yellowlegs,52.681628,200,NA,Migratory,-1.75,0.008444448,N,NA,9.166666667,10.6,0,14
123200523,Church,Fall 2021,Fall,2021,Adult,2,N,Lesser Yellowlegs,52.681628,200,NA,Migratory,-1.75,0.212277178,N,NA,9.166666667,10.6,0,14
123200520,Silver,Fall 2021,Fall,2021,NA,2,N,Pectoral Sandpiper,65.7703007,201,NA,Migratory,-1.75,0.364837317,N,NA,13.5,23.5,0,15
123200517,Silver,Fall 2021,Fall,2021,Adult,4,N,Lesser Yellowlegs,65.7703007,202,NA,Migratory,-1.75,0.417392646,N,NA,17.5,23.5,0,15
123200518,Silver,Fall 2021,Fall,2021,NA,2,N,Pectoral Sandpiper,65.7703007,202,1420,Migratory,-1.75,0.292711257,N,0.5960438,13.08333333,23.5,0,15
